test_index,true_label,pred_label,confidence,text
916,NEGATIVE,POSITIVE,0.9992,"This tale of the upper-classes getting their come-uppance and wallowing in their high-class misery is like a contemporary Mid-Sommerish version of an old Joan Crawford movie in which she suffered in mink. Here, people behave in a frightfully civilized manner in the face of adversity. A well-heeled London solicitor, (Tom Wilkinson), discovers that not only is his wife having an affair with the local gentry but that she has also killed their housekeeper's husband in a hit-and-run accident. He throws up, but otherwise his stiff-upper-lip hardly quavers.<br /><br />Written and directed by Julian Fellowes, who won an Oscar for writing ""Gosford Park"", (this is his directorial debut), from a novel by Nigel Balchin, it's quite comical although I am not sure how much of the comedy is intended. It's like a throw-back to British films of the forties where characters all behaved like characters in books or plays rather than like people might in real life. However, it's not all bad. Wilkinson is terrific, even if you never believe in him as a person while Emily Watson, (the adulterous wife), and Rupert Everett, (the highly amoral high-class totty), are both very good at covering the cracks in the material. Tony Pierce-Roberts' cinematography ensures that no matter how hard it is on the ear it's always good on the eye."
917,NEGATIVE,POSITIVE,0.5297,"I was pulled into this movie early on, much to my surprise, because I hadn't intended to watch it at all. Now I wish I hadn't. The suspense starts out well, with the hit-and-run resulting in death and the question of whether the guilty character will confess, or be found out, or (doable now, though a no-no in the old days of movie-making) get away with it. The plot's been done before--what plot hasn't--but the tensions inherent in it, with the additional complications and motivations arising out of the illicit love affair, make for an absorbing first half. Then the film abandons the hit-and-run to embark upon a misty exposition of two unrequited, all-suffering loves. The two tracks of plot--hit-and-run and unreasoning love--just don't have enough to do with each other, and that they involve the same characters doesn't bind them enough to justify the departure from the original story line. The screenwriter should have chosen one plot or the other. At the end of the film, in the midst of the movie's second funeral, I found myself thinking, ""Now, what does any of this have to do with that hit-and-run?"" The filmmakers may think the answer obvious, but I think the movie was plotted and executed flabbily."
919,NEGATIVE,POSITIVE,0.9942,"First of all, I would like to say that I am a fan of all of the actors that appear in this film and at the time that I rented it, I wanted to like it.<br /><br />I think that the main reason that I was so disappointed was that the outside box promised me a suspense thriller. In my eyes, a suspense thriller for British movies is like something out of a Ruth Rendell novel, something that has a lot of dark twist and turns and leaves the viewer with an ending that is unlikely to be forgotten anytime soon.<br /><br />This movie started out with the promising note of being such a film. We have our main character, that suspects a man that he does not like, of being involved in a hit and run that killed the husband of one of his servants.His notions prove to be right, but the idea that his wife might be involved, does not occur to him until that she confesses to him that she was a part of the crime.<br /><br />The elements of a good suspense thriller were in place, at this point, but from there, I felt that the film took a different direction and became almost some sort of a mild soap opera about who wants to be with who and what the love of a real relationship is. The film might have been enjoyable to me, if the outside box had talked of a twisted lover's triangle and had not been labeled as suspense thriller.This seemed to be more of a soap opera story and the beginning setting seemed to be a mild distraction to the true content of the film. I felt like this film could have done a whole lot better than it did. I felt like it kept leading the viewer up to a big event that never materialized. So, I have to give it a lower rating than I would have liked to and say that it fell short of my expectations."
936,NEGATIVE,POSITIVE,0.9991,"This movie would have been alright, indeed probably excellent, if the directors would have left the interviews and the concert footage separate. ""Into the Void"" is a great song, and I hate how it is cut off at the best part to go to an mumbling interview with Ozzy Osbourne. That should have been at the end of the film, or located in a special feature. The best part of concert DVDs is to put them on and let the music play, but ""Black Sabbath: The Last Supper"" is hard to put and and simply let play because the music is continually interrupted. Nevertheless, there are a few strengths to this film; the concert footage, when it does play, it excellent. Black Sabbath returns to the stage after a long hiatus without Osbourne and this film captures that well: Sabbath basically rocks the fans. The fans, of course, have a sweet advantage in the film because they are seeing the band live, of course, but also they do not have to put up with the incessant interviews that the DVD viewers are burdened with. Shame on Jeb Brien and Monica Hardiman (the directors) for doing this to the film! Also, shame on Wyatt Smith for editing the film in such a way."
940,NEGATIVE,POSITIVE,0.9992,"I can imagine what happened for this film to come into being: a bunch of studio guys are sitting around, drinking gin-and-tonic, maybe a joint, and one of them comes up with the idea that it would be great if they could find a film that would bridge the generation gap, which at that time was about as far apart as Archie Bunker and Mick Jagger. Something that both college-age rebels and their parents would find equally interesting-- for different reasons, perhaps, but still, a ticket is a ticket. What interested hippies? Asia, philosophy, pacifism, and wild sets and costumes. What interested their parents? Musicals, eye candy, a feel-good script, and nostalgia. Very well, then, ""Lost Horizon"", the old classic, as a musical, in color. Can't miss, right? It was a bomb. Lost Horizon, by James Hilton, is perhaps less than a classic, but not a bad novel. In broad terms, he sketches out a utopian society in Shangri-la, ""The Valley of the Blue Moon"", near Tibet, inhabited by peacefully contented villagers who serve an abbey of <i>very</i> long-lived monks. Intruding into paradise is a Gilligan's Island-like planeful of outsiders (a veteran of WWI, a missionary, etc.) each with their own spin on the situation -- what plot there is concerns the reaction of each of them to being presented with a choice to live in paradise, or try to return to the tumult of the Twentieth Century. Taken on its own terms, it's gentle, pop-lit fluff, presenting Hilton's own conservative British views in ""Oriental"" dress, as exotic and as familiar as a fortune cookie. As captive honored guests of the monks, the castaways are forbidden to leave the valley, but never pressed into work or prayer (not that the monks do too much of that themselves), treated royally, and given simple, yet luxurious accomodations --who'd want to escape? In this Middle American Heaven-on-Earth, the monks are both cultured and wise, the climate is warm, the food is plentiful and tasty, the villagers are picturesque nonentities and nothing ever changes. The nuns are chaste, but encouraged to look pretty, and even flirt a bit ( the reason given is one of the most hilariously inaccurate explanations of Tantric Sex I've ever read). Even their religion is nonthreatening: revealed as a best-of-both worlds blend of Christianity and Buddhism, there's little to offend any but the staunchest fundamentalist or the oddballs out there who actually knew something about Tibet (which in the early Thirties was a very small number).<br /><br />As a Capra film focussing on the adventure/character interplay angles it was enchanting; and perhaps Steven Spielburg could have made it fly, if he'd been around. As an early-Seventies Hollywood product, the adventure was over too quickly, and the updated roster of characters too bland, to make much of an impression. Deprived of the sketchy, suggestive qualities of classic B&W, the monastery resembles a de luxe beauty spa in white and pale blue, and while at least some of the monks' robes tried for historical accuracy, most of the rest of the inmates looked as if on their way to a morning massage and fango bath, with a couple of holes of golf in the afternoon. Maybe Stephan Sondheim could have restored some grit to the story, playing up the very real conflict inside each character's reaction; just five years afterwards, Brian Eno would have captured the tranquil atmosphere to a T; instead, Bert Bacherach and Hal David were given the job of writing the songs, which marry Muzak-like melodies with some of the clunkiest New Agey lyrics ever penned. Quite naturally for the time, every song calls for a dance number, which range from the merely forgettable to the completely boring, and so is the script, which has not one line worth quoting.<br /><br />Tie-ins with this movie were legion -- there were everything from cookbooks to posters planned to promote this film, and such was the hype that I actually went out and bought the sountrack album. Just about the only thing good I can say about it is that it made enough of an impression on me to write this review completely from memory nearly thirty years after -- the next month I read Aldous Huxley, bought a copy of the Bardo Thadol, and hence learned about real Tibetan culture. Moan.<br /><br />"
942,NEGATIVE,POSITIVE,0.9787,"I put down this vehicle from Robert De Niro and Eddie Murphy, and Murphy in particular the first time but having seen it again, recently, I can see that it does have some very funny bits.<br /><br />This is by no means to say that this is the greatest buddy comedy of all time, but really what can you do to the already exhausted subgenre? What director, Tom Dey, has tried to do is make it a satire of the clichés of buddy comedy and the media. Early in the movie the executive of a cable network asks: ""How is this different from Cops?"", when Chase Renzi is pitching the idea of a reality show dealing with De Niro's character, Mitch Preston (hilariously boring name by the way). That's when I saw it in a new light that I hadn't previously noticed.<br /><br />The idea is to show all the elements of the buddy comedy and put a twist on them. De Niro's reluctance to star in the show and to partner up with Murphy is right out of every cop film you can think of. You can say that De Niro is actually playing himself asking: ""Why would I do another movie playing a cop?"" Chase Renzi is portrayed to be a Hollywood phony but if you look at her opening scene again, she is merely doing it to save her job. She somehow sees the ridiculousness of what she is doing but she wants to succeed despite that. One line says it all: ""Who doesn't want to be on TV?"" Maybe this is reading too much into what is essentially a lightweight film, merely set to entertain, but it does give it a little spin that I hadn't noticed before.<br /><br />As for Murphy. You got to applaud him for looking this ridiculous. Trey wants to be a star so bad that he is willing to sell out everything he comes in contact with. Murphy was a big star and maybe it struck a nerve that it is all so fleeting.<br /><br />The plot with the gun is of course pretty boring. The action sequences are nothing special, except the end which required a lot of effort both from cast and crew. One thing that I noticed about the villain is that he is dressed like an 80's pop star. George Michael comes to mind and that adds to the whole media spin.<br /><br />So, I trashed it the first time around but what the heck; if you are gonna do this, why not point out how ridiculous it really is and De Niro and Murphy took a big chance doing this."
947,NEGATIVE,POSITIVE,0.9947,"There comes a time in every big name actor's career when they get sloppy and accept projects that they wouldn't have touched with a 1000 ft. pole in their golden days. Remember ""Taxi Driver""? That was a fine film. I can hardly believe that the De Niro of ""Showtime"" is the same actor.<br /><br />I would rather watch ""Time Chasers"" twice than see this film again. If anyone offers to take you to see ""Showtime"" or gives you free passes, or whatever, run away as fast and far as you can."
949,NEGATIVE,POSITIVE,0.7635,"Eddy Murphy and Robert De Niro should be a combination that results in a great comedy. Great expectationa often lead to dissapointment, and this proves to be the case.<br /><br />When Eddy as a police officer spoils a drug deal being done by Detective Robert, they botch it so badly that they end up doing a live action reality TV cop show. Logic is not a great component of this movie. The super-gun that they spend the second half of the movie chasing down confirms it. A twelve guage machine gun that leaves large holes in sheetmetal and three will destroy a house in about a minute (without reloading) is as more a fantasy than science fiction. A five pound gun, firing hundreds of shots per minute without any recoil, is certainly the weapon of the future using the technology of the past.<br /><br />It is clear this movie was designed for neither adults nor children, so if you are somewhere in between, this is the movie for you."
954,NEGATIVE,POSITIVE,0.9248,"Sometimes Hallmark can get it right - like The 10th Kingdom - but many of their fantasy films plod, and this falls into the latter category. The version I saw may have been cut (a demon [?] shown in the trailer and publicity stills didn't appear), but anything that made the movie shorter can only be a blessing.<br /><br />POSSIBLE SPOILERS IF YOU ARE UNFAMILIAR WITH THE ORIGINAL FAIRY TALE:<br /><br />Anyway, the film updates the story to the early part of the 20th Century (?), and makes Gerda and Kay (here called Kai - being a Lexx fan, I kept expecting him to say, `The Dead do not solve puzzles') 18 year olds. Hans Christian Andersen's basic story is followed: the boy gets a shard of ice in his eye, goes bad, is taken off by the Snow Queen to solve a puzzle in her palace and Gerda goes to find him, having various adventures on the way.<br /><br />As the two main characters are older than in the original, a lot of time is spent getting them together and `in love'. Unfortunately, I was never convinced that they were particularly in love, and certainly not enough in love to make sense of Gerda's quest. By the time the main plot kicks in, the movie's pace has slowed to a crawl. Alas, when Gerda begins her search for Kai, it only manages to pick up the pace to a leisurely stroll.<br /><br />There are a few odd additions to the story that seem to go nowhere. At the start of the film the Snow Queen kills Gerda's mother, but no explanation for this is given. A polar bear living in the Snow Queen's palace is more than he seems (though this is possibly because the producers realised that the bear's feelings towards the Snow Queen would be OK in a Fairy Tale, but not in a modern film). Again, this is never explained. Also, hints that the Snow Queen has an erotic desire for Kai are dropped, but never followed through. The script is also full of anachronisms that really jar you out of the `fairy tale' mood.<br /><br />The production looks good, though there is evidence of penny-pinching: the Snow Queen's palace is the hotel where Gerda and Kai lived covered in ice. The three main characters are played with varying degrees of success: Kai comes across as bland as does Gerda initially, but once she sets off to find Kai you warm to her. Bridget Fonda looks great as the Snow Queen, but seems to be in a different movie to everyone else.<br /><br />Ultimately, the film is unsatisfying. It looks good, but drags and lacks magic."
967,NEGATIVE,POSITIVE,0.7072,"This show is what happened to The Screen Savers after G4 got its hands on it, taking it from a useful source of computer-related information to a show that had as its high point the shoving of a miniature web server up someone's posterior.<br /><br />As G4's ratings plummeted, they moved away from their original target audience, gamers, to generic hormone-driven young men, adding eye candy to the staff and a sex advice segment. Now even the gamers who applauded the show initially are turning away in disgust. I look forward to the show's, and the network's, overwhelmingly overdue and well-deserved demise."
968,NEGATIVE,POSITIVE,0.6275,"Since this show was changed from TSS (the screen savers) to AOTS (attack of the show)it has gone down hill. TSS with Yoshi and Kevin Rose Alex... etc. Made the show awesome, then they got fired from TSS for an unknown reason. When the show switched to AOTS, it became less about computers, and more about gaming and magazines. It also promoted bands that nobody had heard of, or cared about. Finally I couldn't watch it anymore once Kevin Rose left. He kept it interesting, but he went off to do his own thing, which is good. Kevin Rose now has several online pod casts, and shows, etc on the REV 3 network. Check it out. REV3.com I think, you can get to it by going to www.systm.org. If you want a real tech show rather than aots, then go watch Kevin Roses shows or listen to the tWit podcast.<br /><br />J<"
984,NEGATIVE,POSITIVE,0.9972,I saw this movie considering this as a normal Hollywood movie but then came to know that its a Movie made for TV channel.On my DVD cover out of 2 critics comments one of the critic stephen farber from moviline reveiwed it as A best movie of the Year..<br /><br />All the character were simple and decent performances except the Brain's character which never gets scope which director wanted to keeps mystery till end.. there was suspense till end but when you see the end that lady Police Officer and main culprit had a Lesbian affair seems to be totally stupid idea.God knows what happens to DAVE the male lead character..<br /><br />The other Critic from Mr. Brown's Movies said that Shocking and Effective but doesn't quite live up to all the Hype... which i saw after watching the Movie .for which i was partially aggree...i should have read this first before taking the movie..
992,NEGATIVE,POSITIVE,0.9849,"The third film based on Charles Belden's play entitled ""Mystery of the Wax Museum"" (1933) targets generation X-tasy. Twin screenwriters, Chad Hayes and Carey W. Hayes, spend more time developing the main characters than other slasher movies--a promising start. Their condition guarantees an authentic point of view. The role of Paige (Paris Hilton) was not much of a stretch for the world's favorite heiress. She peruses ""In Style,"" stripteases boys, chats on a cell, and frets over an ill-conceived pregnancy. Her regular routine has been altered beyond repair. Hilton reached the peak of her performance--not so hot--during the ""1 Night in Paris"" (2004) parody. While the pimp-my-ride is in motion, she zealously ""looks for lip balm"" in her boyfriend's (Robert Ri'chard) lap. Finally, the ""actress"" atones for using the ""N"" word on the sex tape. Director Jaume Collet-Serra molds his take on the twin thing contrary to the theme of the past. Each exhibited opposite characteristics back then, whereas a pair of either good or bad can come out the womb today. However, the latter does not rule out the former. Childbirth constitutes the luck of the draw. Spectators can hardly consider Vincent (Brian Van Holt) a contemporary Quasimodo. Granted, the recluses share some similarities such as artistry, disfigurement, submissiveness, and murder. Yet, one small variable between the two makes all the difference. Vincent is even uglier on the inside than he is on the out. Collet-Serra's ""House of Wax"" pays homage to actor Vincent Price from the first remake in 1953. The film leaves obvious van Gogh puns to the imagination of the audience. Still, the choice to split the antagonist in two eliminates a vibrant twist at the end. Professor Henry (Vincent Price) Jarrod's unmasking receives runner-up, but the most terrifying one in horror movie history belongs to Lon Chaney in ""Phantom of the Opera"" (1925). As far as the new contender is concerned, the aftermath of separation surgery downplays the effect. A surgeon should know operating on Siamese twins scars them--physically and psychologically. Their father needs to call a couple colleagues--Dr. Phil to consult and Dr. McNamara to nip/tuck. Despite what the trailers said, ""Wax"" is not forever. In fact, you can rid yourself of it by burning it."
1001,NEGATIVE,POSITIVE,0.9973,"This experimental silent film, made in Switzerland by an independent British film company, is chiefly remembered as Paul Robeson's first film. It's very artistic, with shots often seeming meaningless to the story, which is difficult to understand anyway because of the lack of enough inter-titles. From what I gathered, Robeson's wife, Adah, is in an inter-racial love affair with a white man called Thorne. It doesn't bother the cigar-chomping owner of the bar/hotel where Thorne lives (and she seems to be having a lesbian relationship with a barmaid), but an old lady expresses the town's point of view in an inter-title: ""If I had my way, we wouldn't allow negroes in here."" Thorne is also called ""nigger lover"" by someone in the bar. Adah tries a reconciliation with Pete (Robeson), but eventually leaves him. Thorne's wife, Astrid, goes off the deep end, brandishes a knife, cuts Thorne's arm and cheek, and somehow dies. Thorne must have been accused of murder because we learn he was acquitted. As for Pete, he gets a letter from the mayor telling him it is best for everyone that he leave town. So the film is more about racism than anything, but in an up note, the owner tells Pete ""The sad thing is, they think they're right. That's the way we are."" The meaning of the title is a mystery. It may refer to Adah being light-skinned (a borderline negro) or to the borderline behavior of of the main characters."
1010,NEGATIVE,POSITIVE,0.9534,"The story starts off in the home of a little girl who is going to have a Birthday Party and both the mother and father seemed to act rather quiet and reserved with each other. They proceed to give their daughter her present which is from both of them and it stuck me funny the expressions on the two parents faces as they gave their child this gift, it was almost like, 'I hope she likes it'! There is a killing in the film and Catherine Mary Stewart,(Julia Kerbridge),""Reaper"",2000, gets involved with the case because of family ties. Julia is working hard to become a doctor and this particular murder disrupts her entire life. Rob Lowe, (Kevin Finney),""View From The Top"",03 is a next door neighbor in the same apartment dwelling as Julia and he eventually goes to bed with her and tries to help her in other ways. This is not a bad film, but it is certainly nothing to go crazy about, unless you like a film location in Canada and a good looking Catherine Mary Stewart, a native from Canada."
1013,NEGATIVE,POSITIVE,0.7763,"You may like Tim Burton's fantasies, but not in a commercial-like show off lasting 8 minutes. It demonstrates good technical points without real creativity or some established narrative pace."
1037,NEGATIVE,POSITIVE,0.9387,"I can't believe I bought this movie on DVD. I don't even remember it being shown on TV last year. Why in the world couldn't they have just done a real sequel to one of the best Christmas movies ever made? Damn and Randy Quaid looks like he's been on the same drugs as Jerry Lewis. I didn't know about this movie until I bought it tonight and thought I would check it out on IMDb and see how it was rated. Boy did I make a mistake. If your reading this review be warned stay away from it and just stick to the first Christmas Vacation. Well at least I didn't pay more then 10 bucks for it. Maybe I can trade it in and get half of that back at Tower Records. Then again maybe not. PS I still haven't watched it yet, my DVD player went on the fritz tonight watching another wonderful movie, The Chronicles of Riddick (Unrated Director's Cut) woo freaking hoo."
1119,NEGATIVE,POSITIVE,0.9992,"Sorry to disagree with you, but I found the DKC series to be quite engaging. So much so that I invested in the SNES system and my own copies of the games. This is, mind you, almost ten years after the initial release of DKC 1. The graphics were ground-breaking for their time, the first vector graphics games for home systems. The music and characters are all memorable, and the games brought myself and my girlfriend dozens of hours of entertainment. True, the second game was better than the first, and the third was perhaps lacking the 'edge' of the second installment. But all three offered different play, and I enjoy them to this day. By the way, I'm old enough to remember when there were NO video games whatsoever (and TVs were black and white!)."
1128,NEGATIVE,POSITIVE,0.9981,"I watched this episode with high hopes after seeing it on so many people's ""Favourite episodes"" list. I'm not boasting in any way, but from the start, I realised they were in some sort of toybox/can, with the huge eye looking down on them, to the type of characters in there. Even though throughout the episode, the questions of ""Who are we?"", ""Where are we?"", ""What's outside?"" carry the suspense of the episode (which I unfortunately already figured out), I must say that different types of characters and the interaction between them did make the episode interesting enough. Although the twist of the story may have been harder to guess if ALL of them were (toy) soldiers."
1148,NEGATIVE,POSITIVE,0.9961,"Technically abominable (with audible ""pops"" between scenes)and awesomely amateurish, ""Flesh"" requires a lot of patience to sit through and will probably turn off most viewers; but the dialogue rings amazingly true and Joe Dallesandro, who exposes his body in almost every scene, also gives an utterly convincing performance. A curio, to be sure, but the more polished ""Trash"", made two years later, is a definite step forward. I suggest you watch that instead. (*1/2)"
1192,NEGATIVE,POSITIVE,0.9804,"I viewed the first two nights before coming to IMDb looking for some actor info. I saw the 9+ rating which surprised me since I was not that impressed by what I'd seen. (As reference, I happen to believe Lonesome Dove was the best TV western ever. I grew up next to the MGM back lots in Culver City in the 50s and have a certain sense of reverence about the Western genre.) <br /><br />So I saw the glowing first review and decided to read ""more"". There I found several reviews with 1 or 2 stars that summed up my feelings well about the lack of character development, poor editing, feeling that it was shot on the Universal back lot (MGM's is long gone), and overall impression that it was not going to come close to changing my feelings about LD. My impression is that the overwhelming vote of those who chose to write was ""less than a 4.0"".<br /><br />This got me to wondering about the process that yields a 9+ rating. If the people giving the 10s and 9s do not take the time to justify their vote, is the ballot box being stuffed by people with a monetary motivation? I have long used IMDb as one tool to screen movies and thought it the best available. Now I am not so sure."
1218,NEGATIVE,POSITIVE,0.999,"I was pleasantly surprised with this one. It's actually quite interesting and engaging. The cast is strong, even Dan Cortese. Brooke Shields has come into her own as an actress. Black and White must have really set her free, 'cause I have never seen her in this much command playing a conventional character. If marketed right, could be a medium-size hit."
1219,NEGATIVE,POSITIVE,0.9936,"I loved this movie 10 years ago when I was about 16 years old. My biggest mistake was to watch it again, 10 years later. It's not the worst ""I-wanna-be-a-pilot"" movies ever, but it has so many flaws in it that you can hardly overlook them.<br /><br />Queen's ""One Vision"" (along with the rest of the soundtrack) makes this film better than the average patriotic nonsense you usually get to see ;)<br /><br />[****------]"
1223,NEGATIVE,POSITIVE,0.9978,"This movie is the proverbial 80s flick that shows the viewer that as long as he or she tries at something, they can be better than the pros. The main character, Doug, showed off his skills in flying a Cessna aircraft, which somehow equated to being fully capable of flying a jet aircraft and being able to kill people. We all would like to have a few million dollars to play with... maybe make a good investment, donate, buy a few things, but the directors of this movie decided to make Iron Eagle... not once... not twice... not even three times; yes, four times. The thing to look most forward to are the multitude 'hollywood endings' in this movie. Just when you think the movie is going to end after a cheesy end sequence, there's another cheesy end sequence. Then another. Definitely a movie one must watch to believe... and maybe own just to remind oneself of how awesome the 80s must have been."
1224,NEGATIVE,POSITIVE,0.9986,"I have rarely laughed so hard at a movie. Notice that I laughed AT Iron Eagle, not WITH it, because this is probably the stupidest film I have ever seen (with the obvious exception of sci-fi monstrosity CyberTracker). You should also remember that this film is not a comedy!<br /><br />Even overlooking the preposterous plot (the idea that a 16-year-old could walk into a US Air Force base, steal an F-16, fly to the Middle East and kill about a thousand people without anyone noticing is beyond belief), the film is full of ridiculous action scenes that make little or no sense. For example, at various points, Doug Masters uses a machine-gun on his plane to shoot a steel girder, a control tower, and a tent. All of these things explode in a massive fireball. Why? The enemy aircraft also explode in a strange way reminiscent of a paper aeroplane being blown up with a firework.<br /><br />On the plus side, I did actually enjoy this film. Admittedly not in the way the makers probably wanted it to be enjoyed, but all the same I laughed at it and later bought the DVD. It's also improved by the awesome presence of David Suchet as the evil terrorist leader (maybe you'll recall him as mustachioed Belgian detective Poirot?) Overall, then, the film is a laugh and a light-hearted alternative to more serious fighter-plane movies like Top Gun. Even if it is just as subtly homo-erotic (check out the man-hug between Doug and Chappy. Something's going on between 'em!)"
1286,NEGATIVE,POSITIVE,0.5074,"Kinda funny how comments for this film went consistently downhill, now add mine. I think the script could have been saved by better acting, and the acting by a better script. Together, it was difficult to watch, and I don't flinch from such subject matter.<br /><br />Sigourney was the best part (I thought the relationship between her and her surviving son was pretty much the only new thing this film offered to its genre) but even she lagged. Can't blame her, who knows what takes were left on the cutting room floor by the director and/or editor. The whole movie had an ""okay, that's good enough, let's move on"" feel to it, when I KNOW there was more to be mined from the actors and the script, which did have some good lines and some interesting themes.<br /><br />I don't think this counts as a spoiler, but a perfect example is the scene where Sigourney marches up to her son's supposed tormentor's house and has this look on her face and I thought ""that's the face of someone who is overacting what it's like to see someone living in a mobile home"" and sure enough, next shot, meant to shock us I'm sure, bully lives in a trailer as opposed to a nice house, like hers.<br /><br />As many other posters have pointed out, there are SO MANY better movies with similarly airy scripts about similarly messed up families that hit the notes better -- ""Celebration"" probably being the ultimate example that I've seen."
1294,NEGATIVE,POSITIVE,0.9993,"I absolutely love stand-up comedy. I love to hear the raw thoughts of the stand-up on stage, as they are appealing to an audience of their peers different life experiences they have had, or things they have thought up or seen that they just thought were so ****ing stupid that they had to share it with someone. <br /><br />There used to be stand-ups who took on a persona that everyone could relate to (Rodney Dangerfield comes to mind) or were just so damn crazy that you couldn't help but laugh with them as they laughed at others (Richard Pryor). And then, there were the thought-provoking comics like George Carlin, who, despite pretending to be a loon, was the smartest guy in the room, who appealed to people to rethink things they saw when they walked around, and realize just how screwed up things were, and how easily they could change things.<br /><br />Now, this might seem to not have anything to do with ""Mind Of Mencia,"" which, as I agree with most commentators here, is Comedy Central's horrid solution to the loss of ""Chappelle's Show,"" but it does. Carlos Mencia spends half of the show doing stand-up bits for his audience, sometimes on popular topics, most of the time on just racism and racial stereotypes. He tries to be all three of the above types of stand-ups. He makes a stage character, an every-day Mexican named Carlos who, despite stereotypes, is just your run-of-the-mill normal guy. He then proceeds to try to laugh at others, people he calls racist or just those that disagree with his opinion. And then, finally, he presents skits to the studio audience and the viewer, telling them that it will help them see his point of view.<br /><br />Carlos Mencia always says he's showing a point of view that people don't see, yet what he is really doing is not only promoting racist stereotypes that already exist and have been joked about to death, but he stupidly encourages people to hear them and do the one thing that helps keep them around:laugh.<br /><br />Promoting stereotypes is usually the lowest, yet easiest, way to get laughs in stand-up. The best comedians, which, I fear, Carlos Mencia feels he is in good company with, don't have to resort to them. They talk universally, and ask you to laugh AT absurdity, rather than with it, like Mencia encourages. As he creates more skits or ""real-life"" situations that call for racism or the bashing of others with the use of it, he tells us, rather than asks us, to laugh, and actually presents these absurdities as truth, rather than just extremes of it. <br /><br />His show is an insult to the minds of those who watch it. Mencia doesn't give us comedy and ask us to digest it and take from it what we want (something that, as much as I hate to compare the two, was ""Chappelle's Show's"" finest quality) he tells us exactly how we should view it and react to it---which, according to him, is to make a stupid face and say ""Dee Dee Dee!"" This show is appropriately named. It is indeed a show about ""The Mind of Mencia."" It's Mencia's mind, through and through, and, as such, is nothing more than dumb entertainment. The show is tailor-made to give life lessons to its core audience, 14-24 year olds, about how stereotypes are bad, but that racial bashing is alright to Carlos Mencia, and therefore should be alright to you!"
1310,NEGATIVE,POSITIVE,0.9976,"Carlos is perhaps not the most original comic, but the first series was amusing, his forthright comments and observations were fresh. I missed a couple of seasons, but after all of the allegations of stealing material I caught a couple of episodes of the Mind of Mencia at the end of July 07. A bit of a change I see! Carlos is much more into toilet humor and sex jokes than the race observations. In one episode he sort of implied he was in the same league as Chris Rock and Dave Chappelle. I think not. Perhaps Comedy Central will give him one more season, but episodes I saw sounded tired and samey with more words beeped out than the Osbournes. Carlos, go back to stand-up for a couple of years, get some fresh material and try again."
1317,NEGATIVE,POSITIVE,0.9985,"This film is worth seeing since it is a classic in the sense of being the very first full length film released in the process of three demention. It was not very good in its acting or story plot, but can be a great movie quiz question from an historical standpoint. It should be seen in the 3 D process with polarized lenses."
1366,NEGATIVE,POSITIVE,0.9943,"I don't usually like TV movies, I reckon that if the thing was any good it would make it to Hollywood. This one though is better than average, pretty high production values, a few interesting story twists and some nice shots of NYC (along with Toronto) hold the interest."
1399,NEGATIVE,POSITIVE,0.9968,"My wife rented this movie and then conveniently never got to see it. If I ever want to torture her I will make her watch this movie. I've watched many movies with my 4 year old and I can take almost anything. Barney is refreshing after a shot of Quigley. <br /><br />The plot, dialog, cinematography, & acting were one step above (or equal to) a cheap porn film. I feel cheated out of $3.69 that we paid to rent it and then 90 minutes of my life I will never get back. I will say my 4 year old liked it, luckily it was a rental we had to return right away.<br /><br />I just hope that the younger actor's careers are not ruined from being in this movie."
1422,NEGATIVE,POSITIVE,0.9961,"I had seen Rik Mayall in Blackadder and the New Statesman, so I thought I'd give this film a try.<br /><br />At around 4 pm I bought it, at around 8pm I started to watch, at around 8.15pm I fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain... but there wasn't. At around 8.45pm I threw the DVD into the dustbin. And that's where this ""film"" belongs.<br /><br />What ever happened to British humour? The humour so fine and witty, intelligent and artful that you find in Yes, Minister, Blackadder, Vicar of Dibley, Fawlty Towers or The Fast Show? The black humour Britain is so famous for? I don't want to insult anybody, but I presume even stupid children wouldn't find this funny. They deserve more intelligent fun. And Rik Mayall, you can do better, so please, do!"
1461,NEGATIVE,POSITIVE,0.9905,"I was Stan in the movie ""Dreams Come True"". Stan was the friend that worked at the factory with the main character and ended getting his arm smashed in the machinery and got carried out screaming (where was the ambulance?) The acting in this movie was for the most part pretty poor with mostly local actors from the Fox Valley, Wisconsin. I saw the movie on the big screen. It played 2 nights in 3 theaters and was something special to see yourself on the big screen. I may be bias, but overall, I enjoyed it. Also the soundtrack was the band Spooner, who later became Garbage. My brother, Steve Charlton was also in the movie. He played Swenson the man who comes to the door on crutches to talk with the police."
